Prompt,Response
"The worst tattoo to have on your forehead"",","""Definitely a misspelled 'potato'."""
"A mean text you would send to break up with a Muppet"",","""Gonzo, your juggling act is less impressive than your relationship skills.  We're done."""
"A weird photo to keep in your wallet"",","A blurry picture of a squirrel riding a Roomba, naturally."
"An odd painting to hang above your bed"",","A portrait of my cat judging me, but in a tiny, unsettlingly realistic, Renaissance-style frame."
"A poor substitute for a necktie"",","A really, really long shoelace."
"The perfect day off is just twelve straight hours of _________"",","The perfect day off is just twelve straight hours of uninterrupted napping, punctuated only by the strategic acquisition of snacks."
"Something awful to hold in your mouth for an hour"",","A week-old, slightly-chewed piece of bubblegum I found stuck to the bottom of my shoe."
"A great way to start a conversation with a weird loner on the subway"",","""So, uh,  what's the deal with airline peanuts?"""
"A hip, new advertising slogan for socks"",","""Socks so comfy, you'll forget you're wearing pants."""
"Really awful cheerleaders would yell \u201c_________!\u201d"",","Really awful cheerleaders would yell  ""Go team... eventually!"""
"The least appetizing name for a restaurant"",","""Colonel Mustard's Regrettable Repast."""
"What the boogeyman is afraid of"",",A really good vacuum cleaner.
"A bad name for a hospital"",","""St.  Oops-a-Daisy Medical Center."""
"Something you do not want to do while standing in a police lineup"",",Trip and accidentally breakdance.
"After the Heimlich Maneuver, the second-best way to stop someone from choking"",","Is a really good hug, preferably from someone strong enough to accidentally crack a rib or two in the process."
"A rejected safety technique for when you catch fire was to \u201cstop, drop, and _________\u201d"",","A rejected safety technique for when you catch fire was to “stop, drop, and **roll around screaming like a tiny, flaming sausage**”."
"The weirdest room you could see in an airport would be one specifically designated for _________"",","The weirdest room you could see in an airport would be one specifically designated for ""people who insist on bringing their emotional support peacocks on board."""
"If you really want to impress the Olympic diving judges, try a dive that involves _________"",","If you really want to impress the Olympic diving judges, try a dive that involves a synchronized interpretive dance routine with a trained badger."
"What you think the word \u201cpandiculation\u201d means"",","It's what cats do when they're plotting world domination, obviously."
"A body of water you definitely shouldn't swim in"",",A vat of industrial-strength pickle juice.
"Something fun to ask the old wise man on top of the mountain"",","""Hey, pops,  got any tips on how to avoid becoming *this* wrinkly?"""
"A rejected tagline for <i>Star Trek</i> instead of \u201cSpace: the final frontier\u201d was \u201cSpace: _________\u201d"",",Space: Where's my other sock?
"How would YOU fix the economy?"",",By replacing all the economists with trained squirrels; they're much better at burying nuts.
"The hardest part about living in a submarine"",",The hardest part about living in a submarine is explaining to the lifeguard why you're late for your swim lesson.
"If you really, really love something, let it _________"",","If you really, really love something, let it go... to a slightly less enthusiastic friend who'll appreciate it more."
"A name for a really scary swamp: _________ Swamp"",","""Swamp Thing's Really Bad Day Swamp"""
"The name of the music playlist that will definitely put an end to the party"",","""Nickelback's Greatest Hits."""
"A bad name for a water park"",","""Hydration Station: Where the fun is drier than the Sahara."""
"A polite way to say \u201cbooger\u201d"",",A nasal souvenir.
"A fun outfit to dress up the statue of David in"",","A tiny, crocheted Speedo and a ridiculously oversized fedora."
"Kennedy's original speech said, \u201cAsk not what your country can do for you, ask _________\u201d"",","Ask what you can do for your country, before it asks what you had for lunch and judges you harshly."
"What the hot trend in weddings will be in the year 2046"",","Cat groomsmen, obviously.  Because who needs a best man when you've got a fluffy tuxedo-wearing Persian?"
"Something fun to scream at a farmer's market"",","""FREE RANGE EGGS!  ARE THEY REALLY FREE, OR ARE YOU JUST HOPING I WON'T NOTICE THEY'RE ALL SQUATTING IN A TINY CAGE?!"""
"Mother Teresa's deepest secret "",","Mother Teresa's deepest secret?  She secretly *loved* spicy vindaloo, but only ate it on Tuesdays."
"The most creative thing you can make entirely out of boogers"",",A surprisingly convincing miniature replica of the Eiffel Tower.
"An ill-advised outfit to wear to your first day at a new job"",","A full-on banana costume, because who *needs* to be taken seriously on their first day?"
"Sleepwalking can be a problem but it's not as bad as sleep_________"",",Sleepwalking can be a problem but it's not as bad as sleep-talking to your crush about your deepest insecurities while simultaneously eating all the leftover pizza.
"What to do when your parachute fails"",",Hope you like the view!
"Something people used to do for fun before electricity"",",Stare longingly at the darkness and make up scary stories about what might be lurking just outside the circle of firelight.
"The most embarrassing crime to get caught committing"",","Shoplifting a giant inflatable T-Rex costume... only to trip and fall, the costume deflating in slow motion as the cashier stares."
"The name that cavemen probably gave to diarrhea"",","""Runny Rocks."""
"The worst person to share a hot tub with"",","My Uncle Barry, who insists on doing underwater interpretive dance while simultaneously narrating his bowel movements."
"A peculiar thing to see in a Help Wanted ad would be \u201cHelp Wanted: _________\u201d"",","A peculiar thing to see in a Help Wanted ad would be ""Help Wanted: Experienced mime to silently judge our employees' productivity."""
"A real weirdo would fall asleep to the sounds of _________"",",A real weirdo would fall asleep to the sounds of a bagpipe-playing squirrel arguing with a mime about the existential dread of mime-ing.
"The name of a dog food brand you probably should not buy"",","""Pup-Peroni: Because explosive diarrhea is a *feature*, not a bug."""
"Come up with a name for a generic brand of hot dogs that you probably shouldn't buy"",","""Mystery Meat Tubes of Delight."""
"Everything tastes better with _________"",",Everything tastes better with a side of existential dread and a healthy dose of regret.
"Life hack! Lower your heating bills by..."",",Life hack! Lower your heating bills by...  moving to Hawaii.  Problem solved!
"The worst thing that could crawl out of your toilet"",","My ex-boyfriend, surprisingly agile even after all those years of only eating pizza rolls."
"The worst advice a doctor could give"",","""Go ahead, eat that entire family-sized bag of expired gummy worms; they're practically probiotics!"""
"Something a weatherman might yell if he completely snapped during the weather forecast"",","""I'm done!  This high-pressure system can kiss my grits!"""
"A great birthday present for your worst enemy"",",A lifetime supply of socks that are all slightly different shades of beige.
"No one would guess this is where the treasure is buried"",","Underneath the giant inflatable flamingo, naturally."
"The secret to a healthy head of hair"",","A strict diet of pizza, followed by rigorous hat-wearing to avoid sun damage."
"A strange thing to read on a door mat"",","""Welcome to my humble abode; please remove your shoes and your crippling self-doubt."""
"The secret to a great marriage"",",Never underestimate the power of a well-timed fart joke.
"What really happens if you stare at the sun too long"",",You become a really good sunbather... permanently.
"A prank the Supreme Court Justices probably play on each other"",","They secretly swap each other's gavels with tiny, rubber chickens."
"What the Easter Bunny does with his free time"",",He's got a killer sideline judging carrot-based culinary competitions.
"A little known-perk of being U.S. president"",","Free room service, but the menu is suspiciously limited to only different kinds of  ""classified""  sandwiches."
"A word that should be in the dictionary but isn't"",","""Fan death,"" because I'm pretty sure my ceiling fan is judging my life choices."
"A really odd thing to say on your deathbed"",","""Don't forget to water my petunias... and tell Brenda I still think she owes me five bucks."""
"The Four Horsemen wouldn't be as scary if they were the Four _________men of the Apocalypse"",",The Four Horsemen wouldn't be as scary if they were the Four **Deliverymen** of the Apocalypse.
"It's illegal to yell \u201cFire!\u201d in a crowded theater, but it should also be illegal to yell, \u201c_________!\u201d"",","""...Free samples are over here!"""
"A good name for a pet cemetery"",","""Pawsitive Vibes Pet Paradise."""
"A new word for people that drive too slow in the fast lane"",","""Lane-hogswarts graduates."""
"The perfect name for a second head that sprouts on your shoulder"",","""Bob.  Because if I already have one head named 'Me', I need a sidekick, and Bob sounds like a helpful, if slightly dim, sidekick."""
"The worst material from which to make a pair of pajamas"",",Used pizza boxes;  you'd wake up smelling like regret and pepperoni.
"Queen Elizabeth's deepest, darkest secret"",","She secretly believed corgis were plotting a tiny, fluffy coup d'état."
"Come up with a slogan for the Russian Tourism Board"",","Russia: Come for the vodka, stay because you accidentally signed a lifetime contract."
"The best part about being Donald Trump"",",The best part about being Donald Trump is that you can blame your bad hair on genetics.
"Sometimes John Travolta wildly mispronounces names. How might he wildly mispronounce his own name?"",","He'd probably call himself ""Tra-vol-TAH-co,"" then immediately offer you a complimentary salsa."
"The worst toy store: Build-A-_________ Workshop"",",The worst toy store: Build-A-**Debt** Workshop.
"The weirdest thing you can buy at the Vatican gift shop"",","A life-sized, inflatable Pope riding a unicycle."
"The worst invention that starts with \u201cSpray-On\u201d"",","Spray-on pants.  I mean, who thought that was a good idea?"
"The name of a species of dinosaur you wouldn't want to meet"",","The Irritable Irritator – because even *before* it ate you, it'd be grumpy."
"Something overheard at the Last Supper"",","""Pass the salt, Judas.  Trying to season my betrayal."""
"Something you can make out of body hair"",","A really, really itchy sweater."
"The worst way to fly: _________ Airlines"",","The worst way to fly:  ""My Little Pony: Friendship is Magic... (but the wings are made of cardboard and hope)."""
"So... what was that movie <i>Birdman</i> about anyway?"",",A washed-up superhero trying to recapture his glory days while battling his inner demons and a possibly-hallucinatory turkey.
"A great pet name for a parasitic worm that lives in your ear"",","""Earwiggles."""
"Little-known fact: Over the course of a lifetime, an average person accidentally eats ten _________"",","Little-known fact: Over the course of a lifetime, an average person accidentally eats ten spiders.  (Just kidding...mostly.)"
"Something you probably shouldn't try to sell on eBay"",","My ex-boyfriend's collection of questionable ""motivational"" posters."
"The worst air freshener scent"",","""Grandma's perfume mixed with a week-old gym sock."""
"A terrible thing to sign on the cast of your friend's broken leg"",","""I'm sorry I tripped you, but hey, at least you got a killer story for your next Tinder profile!"""
"A sign you probably shouldn't put up in your yard"",","""My prize-winning petunias are judgmental and will report you to the HOA."""
"A bad title for a self-help book"",","""How to Adult (Without Accidentally Starting a Cult)."""
"An unusual \u201cSpecial Skill\u201d to include on your resume"",",I can identify the precise shade of beige of any given wall within three seconds.
"What kittens would say if they could talk"",","""Where's the tuna, human?  And also, why are you so tall?"""
"A strange thing to keep as a pet"",","A fully-grown, taxidermied sloth named Barry who I insist on dressing in tiny sweaters."
"The worst thing about Canada"",",The worst thing about Canada is that the only thing colder than their winters is their politeness when they're secretly judging your terrible toque.
"You should never share _________ with someone else"",",You should never share your last french fry with someone else.
"The grossest thing you could find at the bottom of a swimming pool"",","A perfectly preserved, yet inexplicably well-maintained, monocle."
"The sound a tree actually makes when it falls and no one is around to hear it"",","A really loud ""thud,"" followed by an embarrassed whisper of, ""Oops."""
"You need three things to live: food, water, and _________"",","A really, really good Wi-Fi connection."
"A good use for toenail clippings"",",Fertilizing my prize-winning petunia patch – they're surprisingly potassium-rich!
"What you would do with two free hours and a flamethrower"",",I'd finally get around to tackling that massive pile of leaves in my backyard...  in the most spectacularly fiery way imaginable.
"The worst name for an SUV"",","The worst name for an SUV is the ""Ford Explora-bore."""
"New sport idea: professional _________"",",New sport idea: professional underwater basket weaving.
"Trash talk you would hear at a chess meet"",","""Your strategy's so predictable, I could beat you with a pigeon and a deck of Uno cards!"""
"Something you shouldn't stuff with cheese"",",Your own face.
"Something pirates probably aren't very good at"",",Parallel parking.  Those things are HUGE.
"Everyone knows there's no such thing as _________"",","Everyone knows there's no such thing as a ""helpful airline baggage handler."""
"A completely untrue rumor about Alvin from Alvin and the Chipmunks"",","I heard Alvin's actually a Russian spy, and those squeaky songs are coded messages to the Kremlin."
"You should never _________ and _________ at the same time"",",You should never wrestle a pig and eat a burrito at the same time.
"The worst thing about being a billionaire"",",Is having to explain to the IRS why you *need* seventeen yachts.
"Briefly describe your imaginary friend"",",He's a six-foot-tall invisible squirrel with a crippling gambling addiction and a surprisingly sophisticated palate for fine cheeses.
"What you call a baby sasquatch"",",A Sasquatch-quatch.
"What is a tree thinking all day?"",",Probably wondering why the squirrels are always so noisy and if that bird ever learned to actually *sing*.
"The best use for a leftover meatball"",","Weaponized projectile for a very tiny, very angry war."
"A bad reason to call 911"",",My cat judged my choice of tuna.
"The best way to quickly blow a million dollars"",",Buy a million lottery tickets.
"Your first decree after being named Supreme Ruler of Earth"",","My first decree is that all meetings must now be conducted underwater, with mandatory interpretive dance breaks."
"The worst thing to receive for trick-or-treat"",","A fruitcake.  Seriously, who even *likes* fruitcake?"
"Come up with a name for a kooky ostrich who solves mysteries"",","Detective Feathers McFluffernutter III, Esq."
"A phrase you would love to hear Morgan Freeman say"",","""My deepest apologies, but I seem to have misplaced your winning lottery ticket."""
"USA! USA! America is still number one in..."",",USA! USA! America is still number one in...  producing reality TV shows about people hoarding surprisingly specific things.
"An Olympic sport that never made it: Synchronized _________"",",Synchronized napping.  The judges were always falling asleep.
"The government should legalize..."",","The government should legalize unicorns, but only if they come with a lifetime supply of rainbows and glitter."
"The first thing to do if you're attacked by a shark"",",Hope you packed a bigger fish.
"The worst thing to find growing on your neck"",","A sentient, miniature Chia Pet that only sprouts when you're trying to look your best."
"A little-known fact about the Jolly Green Giant"",",He's actually terrified of tiny green peas; it's a deep-seated complex.
"The perfect meal would be a _________ stuffed in a _________ stuffed in a _________"",","The perfect meal would be a whole roasted turkey stuffed in a giant potato stuffed in a really, really big Yorkshire pudding."
"What's black and white and red all over?"",",A newspaper with a really bad sunburn.
"It never ends well when you mix _________ and _________"",",It never ends well when you mix  grandma's experimental chili and a public speaking engagement.
"Invent a silly British term for pooping"",",Having a right royal flush.
"The best reason to go to Australia"",","To finally understand why they call it a ""drop bear""."
"The beauty pageant no one wants to see: Miss _________"",",The beauty pageant no one wants to see: Miss Congeniality's Exploding Diaper.
"The most boring graffiti you could see in the subway"",","""Clean all spills immediately."""
"A slogan to get everyone excited about corn"",",Get your kernels on!
"You never forget your first _________"",",You never forget your first tax audit.
"Little-known fact: The human body is approximately 80% _________"",","Little-known fact: The human body is approximately 80%  water, but mostly regrets."
"Something you shouldn't buy at a yard sale"",",A used toupee.
"If we only use 10% of our brains, what's the other 90% doing?"",",Probably plotting world domination...or finding my car keys.
"What you want your gravestone to read"",","""I told you I was sick!"""
"The worst menu item that starts with \u201cAll You Can Eat\u201d"",",All You Can Eat Regret.
"A sign you wouldn't want to see at a seafood restaurant"",","""Our seafood is so fresh, it still owes me money."""
"Something fun to yell during an opera"",","""Is that a *real* toupee?!"""
"A group activity at a really bad summer camp"",",Trust fall? More like trust *sprawl* – we ended up with a pile of counselors and kids tangled like a rejected game of human Twister.
"The worst ringtone for a cell phone"",","The dial-up modem sound.  Seriously, it's like a digital pterodactyl screeching for its momma."
"A great nickname for your armpit hair"",","""My little swamp monster."""
"\u201cKnock, knock!\u201d \u201cWho's there?\u201d _________"",","""Lettuce in!  It's cold out here!"""
"A Tweet from a caveman"",","Ugh, mammoth steaks are SO last week.  Anyone got a recipe for wooly rhino jerky? #cavemanproblems #paleobeforeitwascool"
"A message found in a bottle floating in the sea"",","""Help!  I'm being held hostage by a colony of particularly demanding seagulls who insist on only the finest kelp snacks."""
"The worst car feature that ends with \u201cholder\u201d"",","Cupholders – because nothing says ""luxury"" like lukewarm coffee sloshing all over your meticulously-cleaned interior."
"What Chewbacca has really been yelling all these years"",","""Help, I've got a serious case of the wedgies!"""
"The most stereotypical country song title"",","""My Truck Broke Down, My Beer's Warm, and My Ex is Engaged to a Tractor."""
"The best way to survive a bear attack is _________"",",The best way to survive a bear attack is to be someone else's problem.
"The worst name for a funeral home"",","""Party Time Funerals."""
"An angry internet comment on a pet store's website"",","""Your hamsters are clearly plotting world domination, and I, for one, welcome our new overlords... but only if they come with tiny hats."""
"The worst name for a rap artist"",",McMildmannered.
"Something that should never be \u201chomemade\u201d"",",Homemade explosives.
"Another use for marshmallows"",","Dental floss, for those with a serious sweet tooth and a complete disregard for their gums."
"Another use for gravy"",",Bribing my dog to stop barking at the mailman.
"A great way to cure the hiccups"",",A great way to cure the hiccups is to suddenly remember you left the oven on and have to run into a burning building to save your cookies.
"An animal Noah shouldn't have saved"",",A pair of hippos; their constant bickering nearly capsized the ark.
"The biggest secret the government keeps"",",The biggest secret the government keeps is the recipe for their suspiciously delicious cafeteria mashed potatoes.
"Something you wouldn't expect a Ouija board to say"",","""My spirit guide is a tax auditor."""
"The best way to defeat terrorism is..."",","...with really, really good airport security and a never-ending supply of tiny shampoo bottles."
"Come up with a name for a salad dressing by Lindsay Lohan"",","""LiLo's Jailhouse Juice:  It's got a tangy kick that'll make you want to do the *mashed potato*."""
"The best way to tell if a tomato is ripe"",","Give it a gentle squeeze; if it squishes back with a playful ""I'm ready to be a delicious salsa,"" it's ripe."
"A good post-music career for Justin Bieber"",",Tax auditor.  The man's got experience dealing with millions.
"Come up with a name for a sitcom about a bunch of wacky nuns"",","""Habits & Habitats."""
"A completely wrong way to spell \u201cJennifer Aniston\u201d"",","Jeniffer Anniston-Smith, Esq."
"The 11th Commandment: Thou shalt not..."",",The 11th Commandment: Thou shalt not wear Crocs outside of the house unless participating in a Crocs-themed flash mob.
"The best way to scare a burglar"",","Leave a note saying ""I've already called the police, and they're bringing the really fluffy puppies."""
"The worst thing to yell while a professional golfer putts"",","""FORE!...get about that five-dollar bet!"""
"The second thing said on the moon"",","""That's one small step for a man, one giant leap for...mankind?  Dang it, I forgot my notes!"""
"Something you can only do in a Walmart if no one's looking"",","Build a fort out of those giant inflatable pool toys and declare it the ""Kingdom of Slightly Damaged Goods."""
"A name for a really cheap hotel"",","The ""Bates Motel...but cheaper."""
"The worst name for a mountain"",",Mount Middle-Management.
"Why so serious?"",","Because the world keeps handing out lemons, and I'm all out of tequila."
"The best thing about being really dumb"",",The best thing about being really dumb is that you're always pleasantly surprised.
"A thought that keeps Santa Claus awake at night"",",Whether his elves are unionizing and demanding better dental.
"The real secret to living to age 100"",",Is avoiding anything remotely resembling responsibility.
"What really happens if you tear off that mattress tag"",","You unleash a horde of tiny, mattress-dwelling gremlins who demand nightly tributes of cheese puffs."
"A bad first line for your presidential inauguration speech"",","""Uh, so, anyone seen my teleprompter?  I think I left it at the Waffle House."""
"A fun thing to do with a bowl of pudding"",",Use it as a helmet during a pillow fight – extra points if you add sprinkles for camouflage.
"Another use for cooked spaghetti"",","Surprisingly effective as a very, very cheap, and slightly sticky, hair extension."
"A weird physical way to greet someone"",","I greet people by doing the worm, but only halfway, then abruptly stopping and yelling ""Greetings!"""
"The worst name for a tanning salon"",","""Burnt Offerings."""
"The worst word that can come before \u201cfart\u201d"",","""Silent"""
"A bad substitute for a toothbrush"",",A garden gnome's beard.
"A trick you shouldn't teach your dog"",",Teaching your dog to steal the remote is a bad idea; it's surprisingly difficult to get them to pay for HBO Max.
"The worst material with which to make a snowman"",",Definitely lukewarm mashed potatoes.
"A terrible sportscaster catchphrase for when somebody dunks a basketball"",","""He threw it up there like a toddler throwing spaghetti at a wall, and... score!  Another one for the 'oopsie daisies' column!"""
"The first thing a pig would say if it could talk"",","""Bacon?  Is that you?"""
"The worst shape for an animal cracker"",",A circle – they're just so gosh-darned *roll-away-able*.
"A surprising job entry on Abraham Lincoln's resume"",","""Professional Vampire Slayer (part-time, evenings only; excellent references available upon request)."""
"Something you'd yell to heckle the performing dolphins at Sea World"",","""Hey, Flipper,  are those *real* fish, or did you borrow them from the clownfish tank?!"""
"The worst name for a \u201cbig and tall\u201d store"",","""Tiny Tim's T-Shirt Emporium."""
"A new name for kumquats"",","""Miniature, adorable, citrus grenades."""
"An angry review you'd give this game (Quiplash)"",","Quiplash? More like Quip*flop* –  I spent more time waiting for my turn than actually laughing, and the AI's prompts were so bad, they made my grandma's jokes seem like Shakespeare."
"The worst thing to wear to your court trial"",","A clown suit; I'm aiming for ""incompetent, but festive."""
"A rejected crayon color"",","Burnt Umber's less exciting cousin, Beige-y Brown."
"Graffiti you might find in a kindergarten"",","""My teacher's a big ol' goober!"""
"The first sign that you're old"",",The first sign that you're old is when you start yelling at clouds for not having the right Wi-Fi password.
"The worst question to ask during a White House tour"",","""Is this where they keep the really good snacks?"""
"Tomorrow's news headline: \u201cScientists Are Shocked to Discover That _________\u201d"",","Tomorrow's news headline: “Scientists Are Shocked to Discover That Cats Are Actually Tiny, Furry Dictators.”"
"A terrible talent to have for the Miss America Pageant"",",The ability to spontaneously combust under pressure.
"Bad advice for new graduates"",","""Major in underwater basket weaving; the job market is *totally* untapped!"""
"The best way to tell if someone is dead"",","Check if they're still paying attention to the unending political drama on TV.  If they are, they're definitely not dead."
"A TMZ headline you really want to see"",","""Justin Bieber Spotted Wearing Pants – Experts Baffled."""
"What you hope the Mars Rover finds"",","A giant, abandoned Martian golf course with a perfectly preserved, slightly rusty, golf cart."
"Where missing socks go"",","They're secretly plotting world domination, one fluffy foot at a time."
"A rejected phrase for one of those Valentine heart candies"",","""I'm not sure if we're together, but I brought snacks."""
"Something that will get you thrown out of a Wendy's"",",Ordering a Big Mac.
"It would be scary to read on a food package, \u201cMay contain trace elements of _________.\u201d"",","It would be scary to read on a food package, “May contain trace elements of **my ex's lingering resentment**.”"
"A just-so-crazy-it's-brilliant business idea to pitch on <i>Shark Tank</i>"",","A dating app for taxidermied animals, because even in the afterlife, love finds a way... to get really, really dusty."
"A terrifying fortune cookie fortune"",","""Your future is bright... and suspiciously close to a black hole."""
"Something the devil is afraid of"",",A really good tax audit.
"CBS should air a TV show about lawyers who are also _________"",",CBS should air a TV show about lawyers who are also competitive synchronized swimmers.
"A great thing to yell before jumping out of an airplane"",","""Hold my beer!"""
"A gift nobody would want: The _________ of the Month Club"",","A gift nobody would want: The ""Mystery Broccoli Floret of the Month Club""."
"A better name for the game Duck Duck Goose"",","""Duck Duck Goose?  Nah,  ""Quack Quack Gravy Boat"" is way more exciting."""
"A bad way to remove unsightly chest hair"",",Using a cheese grater.
"An unusual theme for a kid's lunchbox"",","Surprise!  It's a tiny, perfectly-scaled replica of the Titanic, complete with edible lifeboats (raisins)."
"What the government is hiding from the public in Area 497"",","Giant, adorable hamsters that are secretly running the world... and they're hoarding all the cheese."
"What your pancreas tests revealed"",","My pancreas apparently thinks it's a tiny, overworked accountant who needs a three-martini lunch...and maybe a vacation in the Bahamas."
"A bad, one-word slogan for a presidential campaign"",","""Malarkey."""
"Something you'd make a butler do the moment you hired him"",","Fetch me a monocle...and a tiny, fluffy kitten wearing a top hat."
"Why did the mortician cross the road?"",","To get to the other side... obviously,  he had a body to move."
"Something you should never try to heat in the microwave "",","A live lobster; you'll just end up with a very angry, very splashy crustacean."
"A surprising thing to find inside a piñata "",","A fully-functioning, miniature washing machine."
"An alternate name for The Mona Lisa"",","""The Mona Lisa:  She's got a smile that could curdle milk."""
"A reason to travel back in time to two weeks ago"",",To warn my past self about that questionable burrito.
"If you'd never heard the term \u201cgreat white shark,\u201d what might you call it when you saw one for the first time?"",","Oh, I'd definitely call it a ""really, really big, pointy-toothed fish that's probably hungry."""
"A place where you're not likely to spot Bigfoot"",",A Victoria's Secret fashion show.
"Something you should never say as the captain of a bowling team"",","""My grandma could bowl better than all of you, and she's been dead for five years."""
"The dumbest person in the history of all time "",",tried to use a map to find their phone.
"Another name for the Grand Canyon"",","God's biggest, most impressive pothole."
"Another name for Canada"",","The US's really, really nice neighbor."
"A bad use for clam chowder"",","Using clam chowder as a hair gel;  it'll give you a *really* strong, fishy hold."
"'""On the 147th day of Christmas, my true love gave to me...""',",...a slightly used fruitcake and a strongly worded apology for the previous 146 gifts.
"The best name for an obese rapper"",",Biggie Smalls... again.
"A good puck replacement if they run out of pucks in a game of hockey"",",A frozen grapefruit.
"If animals took over, an exhibit you'd see at the human zoo"",","""Exhibit B:  'Humans attempting to operate a microwave – results may vary (mostly involve burnt popcorn)."""
"A terrible wedding gift"",",A fruitcake that's older than the bride's parents.
"A street name you never see"",","""Avenue of the Slightly Misaligned Mailboxes."""
"The first thing that pops into your mind right now"",",My cat judging me for not having yet replenished his gourmet tuna supply.
"A weapon that should be added to the game Clue"",","A rubber chicken that squawks loudly when used, instantly confusing everyone and making them forget where they were."
"The toy surprise in an Unhappy Meal"",","A tiny, sad clown that cries actual tears of soy sauce."
"Make up a word for the watery substances that come out of a ketchup bottle when you first squeeze it"",",Ketchupsplosions.
"Make up a name for the space between your nostrils"",",The Grand Canyon of Sniffing.
"Italy's newest tourist attraction: The _________Tower of Pisa"",",Italy's newest tourist attraction: The *Leaning Tower of Pizza*.
"The worst theme for a pinball machine"",","""A colonoscopy."""
"The name of Jesus' 13th apostle"",","Judas, clearly, he just had terrible time management skills."
"Something you don't want to find in your Christmas stocking"",",A fruitcake that's been re-gifted seven times.
"A title of a self-help book for rats"",","""Cheese Whiz:  A Rodent's Guide to Achieving Peak Gouda."""
"The worst thing you could rub all over your face"",","Used motor oil, obviously.  Who needs expensive skincare when you've got that?"
"George W. Bush and Dick Cheney's rap duo name"",","""Trail Blazers of the Misunderstood."""
"Something you rarely see used as a car decoration"",","A fully functioning, self-sustaining ecosystem."
"A historical event that would make a bad theme for a restaurant"",","The sinking of the Titanic;  I'm not sure ""near-death experiences and icy water"" is a great marketing angle."
"The worst thing to try to sell door-to-door"",",Used socks.
"Something you probably shouldn't bring on a trip across the Sahara desert"",",A refrigerator.  It's just not very sand-friendly.
"What's that stain?"",","Oh, that?  That's where I accidentally invented a new shade of ""I regret that decision."""
"Something you'd love to smash with a wrecking ball"",",My ex's meticulously crafted sourdough starter.
"A bad name for a pet goldfish"",","""Sir Reginald Fluffernutter the Third."""
"Life would be so much better if we all lived in _________"",",Life would be so much better if we all lived in a giant bouncy castle filled with unlimited pizza and puppies.
"Something it's not a good idea to put in the overhead bin on an airplane"",","Your prize-winning pet pig, Mildred."
"A weird thing for a bank robber to demand in a hostage situation"",","A lifetime supply of artisanal cheese and a signed first edition of ""Fifty Shades of Beige."""
"Something they will probably never make a series of commemorative stamps for"",",My collection of toenail clippings.
"A club you wish they had in high school"",",A club dedicated to perfecting the art of strategically avoiding eye contact with teachers.
"The best prize you could find in a Cracker Jack box"",","A tiny, perfectly-functioning, self-folding laundry robot."
"The worst soup flavor: Cream of _________"",",Cream of sadness and regret.
"A strange place to hold a family reunion"",",My aunt Mildred's taxidermy workshop – the squirrels were surprisingly well-behaved.
"Something you'd sneak into space, if you were an astronaut"",","A really, really strong Wi-Fi extender – because the cosmic internet is notoriously bad."
"What they really found in King Tut's tomb"",","A really, really dusty Roomba and a half-eaten bag of Tut's favorite snack-sized pyramids."
"The name of that cheese shop you're going to open some day"",","""Going Cheesy."""
"The liquid that would make for the worst salad dressing"",",I'd say motor oil;  it's got that *certain je ne sais quoi* of gritty disappointment.
"An unusual motif for a baby's nursery"",","Repurposed taxidermied squirrels – a woodland critter-themed room, naturally."
"Another name for toe jam"",",The lesser-known cousin of strawberry jam.
"A better name for dandruff"",","""Snowflake fallout."""
"A terrible name to have if you're running for public office"",","Definitely ""Hugh Jass""."
"Four out of five dentists agree you should never _________"",",Four out of five dentists agree you should never floss with a chainsaw.
"Something that would make a creepy replacement for the horses on a merry-go-round"",",Ferrets in tiny top hats.
"The worst thing to vomit into when you suddenly need to vomit"",",A priceless antique vase your grandmother specifically warned you about.
"Make up a word that means \u201cto make up a word\u201d"",",Wordsmithify!
"Like Plutonium or Einsteinium, what would you name the next Periodic Table element they discover?"",",Definitely Unobtainium — because finding it would be just as impossible as getting a decent night's sleep with a newborn.
"A bad name for a pirate"",",Captain Calico's Clean Crew.
"Something fun to scream when you win in a game of bingo, other than \u201cBingo!\u201d"",","""I GOT A BINGO, AND YOUR FACE IS MY PRIZE!"""
"A movie that should never be made into a theme park ride"",","""The Human Centipede: The Ride."""
"A business or service that shouldn't have a drive-through window"",",A proctologist's office.
"Paul Bunyan's replacement for Babe The Blue Ox when he dies"",","A slightly less blue, but significantly more neurotic, ox named Anxiety."
"The worst flavor for a sno-cone"",",Definitely liver and onions.
"What Smokey the Bear does when he's not fighting forest fires"",","He's got a surprisingly lucrative side hustle as a motivational speaker, mostly for arson awareness groups."
"Combine any two words to make a fun, new made-up word"",","""My new made-up word is 'chortle-copter' – it's what I call my noisy, uncontrollable laughter."""
"A lesser-known ingredient in most microwave pizza pockets"",",Probably the despair of a thousand lonely Tuesdays.
"A great place to hide an Easter egg"",",Inside a computer's hard drive; no bunny's ever looked there!
"A trick you'd like to see a poodle do"",",Juggle flaming bowling pins while reciting Shakespeare in Klingon.
"A better name for the Washington Monument"",","""The Really, Really Tall Pointy Thing."""
"You never know when you're going to need insurance. You could wake up tomorrow and _________"",",You never know when you're going to need insurance. You could wake up tomorrow and  discover your pet hamster has started a lucrative underground gambling ring and needs a really good lawyer.
"The worst thing to overhear during your surgery"",","""My doctor's on a three-day losing streak at bingo."""
